Organization: KDE
"name","html_url","languages_url","pushed_at","created_at","updated_at","language","has_issues","archived","open_issues_count","topics"
"tapestry4","https://github.com/apache/tapestry4","https://api.github.com/repos/apache/tapestry4/languages","2024-12-08T15:51:22Z","2009-03-27T15:41:53Z","2024-12-08T15:56:19Z","Java",false,true,12,"[""java"",""tapestry"",""web-framework""]"
"xalan-j","https://github.com/apache/xalan-j","https://api.github.com/repos/apache/xalan-j/languages","2022-10-24T18:27:46Z","2009-03-27T15:41:55Z","2024-10-14T10:34:14Z","Java",false,false,4,"[""xalan""]"
"apr","https://github.com/apache/apr","https://api.github.com/repos/apache/apr/languages","2024-10-07T08:04:59Z","2009-03-27T15:41:55Z","2024-12-22T04:24:45Z","C",false,false,16,"[""apr""]"
"zookeeper","https://github.com/apache/zookeeper","https://api.github.com/repos/apache/zookeeper/languages","2024-12-21T04:15:06Z","2009-03-27T15:41:56Z","2024-12-24T13:17:44Z","Java",false,false,220,"[""apache"",""configuration-management"",""consensus"",""coordination"",""database"",""distributed-configuration"",""distributed-database"",""distributed-systems"",""hacktoberfest"",""java"",""key-value"",""service-discovery"",""zab"",""zookeeper""]"
"lucenenet","https://github.com/apache/lucenenet","https://api.github.com/repos/apache/lucenenet/languages","2024-12-22T17:05:53Z","2009-03-27T15:41:57Z","2024-12-24T06:27:43Z","C#",true,false,90,"[""analysis"",""apache"",""hacktoberfest"",""index"",""information"",""lucene"",""lucenenet"",""query"",""retrieval"",""search"",""text""]"
"apr-util","https://github.com/apache/apr-util","https://api.github.com/repos/apache/apr-util/languages","2024-09-30T11:04:26Z","2009-03-27T15:41:58Z","2024-12-18T12:25:45Z","C",false,false,1,"[""apr""]"
"jspwiki","https://github.com/apache/jspwiki","https://api.github.com/repos/apache/jspwiki/languages","2024-12-20T04:06:58Z","2009-03-27T15:41:58Z","2024-12-19T22:51:08Z","Java",false,false,15,"[""apache"",""asf"",""content"",""java"",""jspwiki"",""wiki""]"
"ofbiz","https://github.com/apache/ofbiz","https://api.github.com/repos/apache/ofbiz/languages","2020-04-27T06:10:43Z","2009-05-20T01:47:56Z","2024-12-20T02:54:38Z","Java",false,true,12,"[""content"",""database"",""geospatial"",""groovy"",""http"",""java"",""javascript"",""network-server"",""ofbiz"",""web-framework"",""xml""]"
"directory-studio","https://github.com/apache/directory-studio","https://api.github.com/repos/apache/directory-studio/languages","2024-07-15T00:13:43Z","2009-05-20T01:52:19Z","2024-11-26T23:48:23Z","Java",false,false,12,"[""directory"",""java"",""network-client"",""network-server""]"
"felix","https://github.com/apache/felix","https://api.github.com/repos/apache/felix/languages","2020-03-04T13:45:46Z","2009-05-20T02:00:07Z","2024-11-15T21:45:24Z",,false,false,54,"[""felix"",""java"",""network-server""]"
"chainsaw","https://github.com/apache/chainsaw","https://api.github.com/repos/apache/chainsaw/languages","2022-07-08T18:14:36Z","2009-05-20T02:00:33Z","2023-09-25T19:33:01Z","Java",false,true,2,"[""chainsaw""]"
"maven-wagon","https://github.com/apache/maven-wagon","https://api.github.com/repos/apache/maven-wagon/languages","2024-12-24T13:52:51Z","2009-05-20T02:01:12Z","2024-09-12T22:16:24Z","Java",false,false,12,"[""build-management"",""java"",""maven"",""maven-plugins"",""maven-wagon""]"
"maven-resources","https://github.com/apache/maven-resources","https://api.github.com/repos/apache/maven-resources/languages","2019-02-19T01:29:02Z","2009-05-20T02:01:27Z","2023-07-25T13:41:18Z","Java",false,true,1,"[""build-management"",""java"",""maven""]"
"httpd","https://github.com/apache/httpd","https://api.github.com/repos/apache/httpd/languages","2024-12-14T15:16:22Z","2009-05-20T02:02:59Z","2024-12-24T16:30:41Z","C",false,false,67,"[""httpd""]"
"camel","https://github.com/apache/camel","https://api.github.com/repos/apache/camel/languages","2024-12-24T17:06:42Z","2009-05-21T00:25:36Z","2024-12-24T17:06:46Z","Java",false,false,3,"[""camel"",""eip"",""integration"",""java"",""microservices""]"
"xmlgraphics-fop","https://github.com/apache/xmlgraphics-fop","https://api.github.com/repos/apache/xmlgraphics-fop/languages","2024-12-15T10:15:05Z","2009-05-21T00:26:43Z","2024-12-15T10:15:09Z","Java",false,false,13,"[""apache"",""fop""]"
"maven-scm","https://github.com/apache/maven-scm","https://api.github.com/repos/apache/maven-scm/languages","2024-12-15T00:14:57Z","2009-05-21T00:33:04Z","2024-12-15T00:14:59Z","Java",false,false,6,"[""build-management"",""java"",""maven"",""maven-plugins"",""maven-scm-plugin""]"
"maven-plugins","https://github.com/apache/maven-plugins","https://api.github.com/repos/apache/maven-plugins/languages","2019-11-13T03:16:16Z","2009-05-21T00:33:19Z","2024-11-14T07:53:23Z","Java",false,true,17,"[""build-management"",""java"",""maven""]"
"maven-release","https://github.com/apache/maven-release","https://api.github.com/repos/apache/maven-release/languages","2024-12-15T00:11:52Z","2009-05-21T00:59:16Z","2024-12-15T00:11:52Z","Java",false,false,6,"[""build-management"",""java"",""maven"",""maven-plugins"",""maven-release-plugin""]"
"maven-enforcer","https://github.com/apache/maven-enforcer","https://api.github.com/repos/apache/maven-enforcer/languages","2024-12-20T15:19:14Z","2009-05-21T00:59:40Z","2024-12-04T21:23:31Z","Java",false,false,2,"[""build-management"",""java"",""maven"",""maven-enforcer-plugin"",""maven-plugins""]"
"synapse","https://github.com/apache/synapse","https://api.github.com/repos/apache/synapse/languages","2024-07-10T04:44:12Z","2009-05-21T01:01:59Z","2024-11-01T01:22:59Z","Java",false,false,14,"[""http"",""java"",""network-client"",""network-server"",""synapse"",""xml""]"

Organization: mozilla
"name","html_url","languages_url","pushed_at","created_at","updated_at","language","has_issues","archived","open_issues_count","topics"
"zamboni","https://github.com/mozilla/zamboni","https://api.github.com/repos/mozilla/zamboni/languages","2018-01-30T16:14:06Z","2009-10-23T19:35:34Z","2024-11-21T21:45:16Z","Python",false,true,8,"[]"
"kitsune","https://github.com/mozilla/kitsune","https://api.github.com/repos/mozilla/kitsune/languages","2024-12-19T21:57:37Z","2010-01-26T18:53:57Z","2024-12-23T13:52:32Z","Python",true,false,29,"[]"
"mozregression","https://github.com/mozilla/mozregression","https://api.github.com/repos/mozilla/mozregression/languages","2024-12-23T18:56:27Z","2010-02-11T05:49:14Z","2024-12-02T13:35:46Z","Python",false,false,41,"[""python"",""regression""]"
"bleach","https://github.com/mozilla/bleach","https://api.github.com/repos/mozilla/bleach/languages","2024-10-29T18:31:13Z","2010-02-19T01:12:41Z","2024-12-23T13:34:09Z","Python",true,false,4,"[]"
"commonware","https://github.com/mozilla/commonware","https://api.github.com/repos/mozilla/commonware/languages","2021-04-16T13:06:04Z","2010-04-12T18:28:23Z","2024-10-11T11:45:59Z","Python",true,false,4,"[]"
"nestegg","https://github.com/mozilla/nestegg","https://api.github.com/repos/mozilla/nestegg/languages","2024-06-25T11:07:03Z","2010-05-19T17:09:56Z","2024-10-11T11:25:55Z","C",true,false,1,"[]"
"zamboni-lib","https://github.com/mozilla/zamboni-lib","https://api.github.com/repos/mozilla/zamboni-lib/languages","2014-10-02T16:10:11Z","2010-05-19T21:27:03Z","2023-01-28T20:58:57Z","Python",true,true,2,"[]"
"popcorn-js","https://github.com/mozilla/popcorn-js","https://api.github.com/repos/mozilla/popcorn-js/languages","2017-09-21T13:28:47Z","2010-05-21T17:40:35Z","2024-11-30T10:41:20Z","JavaScript",true,true,140,"[]"
"django-product-details","https://github.com/mozilla/django-product-details","https://api.github.com/repos/mozilla/django-product-details/languages","2024-06-26T16:25:30Z","2010-05-28T08:37:57Z","2024-10-11T11:25:50Z","Python",true,false,10,"[]"
"input-lib","https://github.com/mozilla/input-lib","https://api.github.com/repos/mozilla/input-lib/languages","2019-03-28T03:57:55Z","2010-06-17T06:01:46Z","2024-10-11T12:18:17Z","Python",false,true,1,"[]"
"django-csp","https://github.com/mozilla/django-csp","https://api.github.com/repos/mozilla/django-csp/languages","2024-12-15T22:36:27Z","2010-07-14T18:00:59Z","2024-12-18T17:38:07Z","Python",true,false,17,"[""csp"",""django"",""python""]"
"mozmill-dashboard","https://github.com/mozilla/mozmill-dashboard","https://api.github.com/repos/mozilla/mozmill-dashboard/languages","2015-05-15T09:44:56Z","2010-07-17T00:06:47Z","2023-01-28T20:10:43Z","JavaScript",true,true,1,"[]"
"doozer","https://github.com/mozilla/doozer","https://api.github.com/repos/mozilla/doozer/languages","2023-10-25T15:18:37Z","2010-08-02T23:07:40Z","2024-10-11T11:30:02Z","HTML",true,false,4,"[]"
"django-recaptcha","https://github.com/mozilla/django-recaptcha","https://api.github.com/repos/mozilla/django-recaptcha/languages","2011-07-27T15:39:37Z","2010-08-18T23:32:58Z","2023-11-23T07:19:32Z","Python",false,true,2,"[]"
"bespinserver","https://github.com/mozilla/bespinserver","https://api.github.com/repos/mozilla/bespinserver/languages","2019-03-28T03:36:42Z","2010-08-31T18:14:21Z","2024-10-11T12:20:35Z","Python",false,true,1,"[]"

Organization: honeynet
"name","html_url","languages_url","pushed_at","created_at","updated_at","language","has_issues","archived","open_issues_count","topics"
"beeswarm","https://github.com/honeynet/beeswarm","https://api.github.com/repos/honeynet/beeswarm/languages","2019-03-13T10:42:58Z","2012-10-20T14:36:17Z","2024-11-21T12:59:51Z","Python",true,true,37,"[]"
"apkinspector","https://github.com/honeynet/apkinspector","https://api.github.com/repos/honeynet/apkinspector/languages","2013-02-25T00:39:10Z","2013-02-22T07:42:40Z","2024-11-27T12:59:22Z","Java",true,false,15,"[]"
"qebek","https://github.com/honeynet/qebek","https://api.github.com/repos/honeynet/qebek/languages","2013-02-26T07:58:06Z","2013-02-26T07:54:41Z","2020-01-01T11:52:15Z","C",true,false,1,"[]"
"shiva","https://github.com/honeynet/shiva","https://api.github.com/repos/honeynet/shiva/languages","2014-01-19T05:25:41Z","2013-04-17T12:30:20Z","2023-08-07T15:28:36Z","Python",true,false,1,"[]"
"ovizart-ng","https://github.com/honeynet/ovizart-ng","https://api.github.com/repos/honeynet/ovizart-ng/languages","2013-09-23T18:49:51Z","2013-05-29T13:31:09Z","2019-12-09T11:19:56Z","Python",true,false,23,"[]"
"ghost-usb-honeypot","https://github.com/honeynet/ghost-usb-honeypot","https://api.github.com/repos/honeynet/ghost-usb-honeypot/languages","2015-03-24T14:35:53Z","2015-03-23T17:01:13Z","2024-11-21T21:49:18Z","C",true,false,3,"[]"
"yapdns","https://github.com/honeynet/yapdns","https://api.github.com/repos/honeynet/yapdns/languages","2015-06-19T14:36:42Z","2015-04-29T08:36:05Z","2023-10-11T02:01:23Z","Python",true,false,1,"[]"
"droidbot","https://github.com/honeynet/droidbot","https://api.github.com/repos/honeynet/droidbot/languages","2024-08-16T12:43:05Z","2015-06-09T04:02:16Z","2024-12-23T09:18:58Z","Python",true,false,36,"[]"
"cuckooml","https://github.com/honeynet/cuckooml","https://api.github.com/repos/honeynet/cuckooml/languages","2022-06-27T08:05:02Z","2016-04-24T17:30:58Z","2024-08-12T19:22:29Z","Python",true,false,12,"[]"
"cuckoo-droid","https://github.com/honeynet/cuckoo-droid","https://api.github.com/repos/honeynet/cuckoo-droid/languages","2016-08-12T13:14:45Z","2016-04-25T10:14:07Z","2019-08-07T08:56:29Z","Python",true,false,3,"[]"
"checkpot","https://github.com/honeynet/checkpot","https://api.github.com/repos/honeynet/checkpot/languages","2019-01-20T19:10:21Z","2018-05-17T08:30:06Z","2024-11-22T11:20:15Z","Python",true,false,1,"[]"

Organization: BRL-CAD
"name","html_url","languages_url","pushed_at","created_at","updated_at","language","has_issues","archived","open_issues_count","topics"
"web","https://github.com/BRL-CAD/web","https://api.github.com/repos/BRL-CAD/web/languages","2023-09-03T06:19:24Z","2014-03-10T22:32:32Z","2021-01-03T11:23:45Z","PHP",true,false,30,"[]"
"geometry_viewer","https://github.com/BRL-CAD/geometry_viewer","https://api.github.com/repos/BRL-CAD/geometry_viewer/languages","2019-04-09T06:12:36Z","2014-03-14T17:17:16Z","2020-09-09T02:21:59Z","PHP",false,false,4,"[]"
"benchmark","https://github.com/BRL-CAD/benchmark","https://api.github.com/repos/BRL-CAD/benchmark/languages","2021-06-10T23:18:50Z","2014-05-26T19:05:17Z","2024-11-01T12:03:14Z","JavaScript",true,false,1,"[]"
"OGV-meteor","https://github.com/BRL-CAD/OGV-meteor","https://api.github.com/repos/BRL-CAD/OGV-meteor/languages","2022-12-31T09:48:40Z","2014-06-07T03:48:29Z","2024-12-18T20:12:32Z","HTML",true,false,18,"[]"
